Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,671996061356019000,2015-12-02T10:15:20Z,SnatterVan,"RT @NSPCA_SA: #ChildrenMatter in the lives of animals, and animals matter in the lives of Children. #AllLivesMatter https://t.co/QLBaDkkwG1",,,,,actual,http://pbs.twimg.com/media/CVNkFeEUYAA-jFr.jpg,,,https://twitter.com/SnatterVan/status/671996061356019712
twitter,672045062423887000,2015-12-02T13:30:03Z,Soul_James,"RT @gawdduss: Conservatives won't get how #AllLivesMatter erases black people, but will argue passionately about how ""Happy Holidays"" erase…",,,-34,151,enrichment,,,,https://twitter.com/Soul_James/status/672045062423887872
twitter,671935628368551000,2015-12-02T06:15:12Z,srcglide,"RT @The_Anecdoubtal: The #AllLivesMatter & #BlueLivesMatter crowds damning silence following the #ColoradoSpringsShooting -

https://t.co/R…",,http://m.huffpost.com/us/entry/565de1f9e4b079b2818beacd,52,0,enrichment,,,,https://twitter.com/srcglide/status/671935628368551936
twitter,672070839861420000,2015-12-02T15:12:29Z,SRTRC_England,RT @elliegrebby: #DontBombSyria #AllLivesMatter https://t.co/Yr3A6jqR2i,,,52,-1,enrichment,http://pbs.twimg.com/media/CVOZN3eWEAA9_TT.jpg,,,https://twitter.com/SRTRC_England/status/672070839861420032
twitter,672105507675615000,2015-12-02T17:30:14Z,stefanodibiagi0,RT @streetpicsnow: Hard core granny!  #alllivesmatter #blacklivesmatter #adayinthelifeofamissionary #dailyafrica #visionsfrommycar #st… htt…,,,,,actual,http://pbs.twimg.com/media/CVPLb2XWsAAeZO8.jpg,,,https://twitter.com/stefanodibiagi0/status/672105507675615233
twitter,672048034612707000,2015-12-02T13:41:52Z,StolenSweeties,"RT @Salon: Spike Lee's ""Chi-Raq"" is a hypnotic, dazzling reproof of the #AllLivesMatter ghouls https://t.co/iw8WaAGlj2 https://t.co/LbmNn1Z…",,http://slnm.us/OJVeZPu,52,0,enrichment,http://pbs.twimg.com/media/CVOU90bXAAADg6A.jpg,1,,https://twitter.com/StolenSweeties/status/672048034612707328
twitter,671884423139352000,2015-12-02T02:51:44Z,synergyman,RT @Liberalssuc1: #AllLivesMatter the left is tearing the country apart. https://t.co/9J49niDMI2,,,,,actual,http://pbs.twimg.com/media/CVL-qJMU4AAMnNv.jpg,,,https://twitter.com/synergyman/status/671884423139352577
twitter,672092885395881000,2015-12-02T16:40:05Z,TaniaGracia7,Living for #LOVE. #AllLivesMatter #TeamGOD #TaniaSpeaks #AngelsOnEarth. #MiraclesfromHeaven #God https://t.co/lCpRvpfPey,,,,,actual,http://pbs.twimg.com/media/CVPA2cjWcAAVvbR.jpg,,,https://twitter.com/TaniaGracia7/status/672092885395881986
twitter,671939404894707000,2015-12-02T06:30:12Z,THE_GREAT_BEE,RT @NSPCA_SA: #30seconds is all it takes to make a difference. SMS CARE to 38018. Each SMS costs R25. #AllLivesMatter https://t.co/11lPqm5I…,,,-31,23,enrichment,http://pbs.twimg.com/media/CVMuuGzVEAAfU6_.jpg,,,https://twitter.com/THE_GREAT_BEE/status/671939404894707712
twitter,672087881251487000,2015-12-02T16:20:12Z,thick_girlsrock,I wish everybody the best I'm not a hater 🤗🤗😬😝  I wanna see everybody eat #AllLivesMatter,,,22,114,enrichment,,,,https://twitter.com/thick_girlsrock/status/672087881251487748
twitter,672029159699386000,2015-12-02T12:26:52Z,ThinkingNothin,"When a random tweets "" No #AllLivesMatter""  https://t.co/ljtK9WkB7o",https://twitter.com/zxinxh/status/671803286635331584,https://twitter.com/zxinxh/status/671803286635331584,,,actual,,,,https://twitter.com/ThinkingNothin/status/672029159699386368
twitter,672033538968002000,2015-12-02T12:44:16Z,trueblueline,"We hold these truths to be self-evident: #AllLivesMatter
https://t.co/I8DUr1hM0e
#ProtectOurCops #ThinBlueLine",,https://youtu.be/p6T9KKP1-O8,-25,134,enrichment,,,,https://twitter.com/trueblueline/status/672033538968002560
twitter,672061115879198000,2015-12-02T14:33:50Z,tuffords,"#BlackLivesMatter is mouthy, offensive — and spot on!   #AllLivesMatter https://t.co/ku2Dr5Ms0N",,http://www.cbc.ca/news/world/black-lives-matter-neil-macdonald-1.3346155,,,actual,,,,https://twitter.com/tuffords/status/672061115879198720
twitter,672059515542577000,2015-12-02T14:27:29Z,TuomoLind,@Melissaspence_ Isn't #AllLivesMatter a strike back at #BlackLivesMatter calling for people to kill cops? Related: https://t.co/QOB3gecvHd,,https://www.youtube.com/watch?v=afE8mymaE1o,62,26,enrichment,,,,https://twitter.com/TuomoLind/status/672059515542577152
twitter,671934305069830000,2015-12-02T06:09:56Z,Vaneshree02,RT @NSPCA_SA: #30seconds is all it takes to make a difference. SMS CARE to 38018. Each SMS costs R25. #AllLivesMatter https://t.co/11lPqm5I…,,,,,actual,http://pbs.twimg.com/media/CVMuuGzVEAAfU6_.jpg,,,https://twitter.com/Vaneshree02/status/671934305069830144
twitter,672025224888516000,2015-12-02T12:11:13Z,VetAnthropology,RT @Marland_X: #BlueLivesMatter #AllLivesMatter Where tha fuck y'all at??? #BringEmOut #BlackLivesMatter #BlackTwitter #WarOnDrugs https://…,https://twitter.com/splcenter/status/671813698399399937,https://twitter.com/splcenter/status/671813698399399937,,,actual,,,,https://twitter.com/VetAnthropology/status/672025224888516608
twitter,672049055829204000,2015-12-02T13:45:55Z,Vouze,"@Vouze https://t.co/irKUmztaSV #SJW send to themselves death threats. Just like Anita, Zoe or Wu. #fullMcintosh #GamerGate #AllLivesMatter",,http://www.nj.com/union/index.ssf/2015/12/arrest_made_in_kean_twitter_threat.html,46,2,enrichment,,,,https://twitter.com/Vouze/status/672049055829204992
twitter,672081060247805000,2015-12-02T15:53:06Z,waltafboss,To the MPs who are intending to vote yes. Please take a second to think about ALL the innocent lives esp children #AllLivesMatter #SyriaVote,,,55,-3,enrichment,,1,,https://twitter.com/waltafboss/status/672081060247805952
twitter,672094571799707000,2015-12-02T16:46:47Z,WayneDupreeShow,Officer who gunned down #LaquanMcDonald released after being charged https://t.co/uq8S3Uqkw4 #WakeUpAmerica #cspan #tcot #AllLivesMatter,,http://newsninja2012.com/?p=44558,,,actual,,,1,https://twitter.com/WayneDupreeShow/status/672094571799707648
twitter,672074046662713000,2015-12-02T15:25:13Z,WhatsYourRhythm,"Another example of black on black crime, #2wrongsDontMake1Right #AllLivesMatter https://t.co/c99r2snvGO",,http://fb.me/7wZgcbRgQ,,,actual,,,,https://twitter.com/WhatsYourRhythm/status/672074046662713344
twitter,672060015071465000,2015-12-02T14:29:28Z,XinJeisan,"RT @Salon: Spike Lee's ""Chi-Raq"" is a hypnotic, dazzling reproof of the #AllLivesMatter ghouls https://t.co/iw8WaAGlj2 https://t.co/LbmNn1Z…",,http://slnm.us/OJVeZPu,,,actual,http://pbs.twimg.com/media/CVOU90bXAAADg6A.jpg,1,,https://twitter.com/XinJeisan/status/672060015071465472
twitter,671936078539038000,2015-12-02T06:16:59Z,yvette6711,RT @NSPCA_SA: #30seconds is all it takes to make a difference. SMS CARE to 38018. Each SMS costs R25. #AllLivesMatter https://t.co/11lPqm5I…,,,-26,28,enrichment,http://pbs.twimg.com/media/CVMuuGzVEAAfU6_.jpg,,,https://twitter.com/yvette6711/status/671936078539038720
