Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,,,Source URL
twitter,672085876621594000,2015-12-02T16:12:14Z,afrokai,"RT @trueblacknews: These Cops planted Drugs & Guns on Black men for years. When the KKK are the Cops what do u do?
#blacklivesmatter https:…",,,,,actual,http://pbs.twimg.com/media/CVOVtRlWwAAnXmT.png,,,,,https://twitter.com/xCemreee/status/672094663206137861
twitter,671894198816124000,2015-12-02T03:30:34Z,afrokai,RT @NavyDad0007: NEW US Attorney on the #KendrickJohnson Investigation Steven M. Dettelbach #BlackLivesMatter https://t.co/aLmIl4nmDa,,,,,actual,http://pbs.twimg.com/media/CVMAxnUWsAIYnX8.jpg (suit: 0.911072313785553),,,,,https://twitter.com/Fabmeenne/status/672094415557632002
twitter,671891512695717000,2015-12-02T03:19:54Z,afrokai,"RT @AriaStark8: #IndiaKager

#NatashaMckenna

#YvetteSmith

#TamirRice

#MatthewAjibade

#LaquanMcdonald

# ...

#BlackLivesMatter",,,,,actual,,,,,,https://twitter.com/JamesSemaj1220/status/672094315506700288
twitter,671891019172937000,2015-12-02T03:17:56Z,afrokai,RT @TheDIYLawyer: The Chicago Police Scandal    https://t.co/pByg8kRT5m #Blacklivesmatter #LaquanMcDonald #TamirRice #FreddieGray,,http://nyti.ms/1YGkdrZ,,,actual,,,,,,https://twitter.com/Dwthoma/status/672094311635279873
twitter,671925283658797000,2015-12-02T05:34:06Z,AfroXero843,RT @Patri_Archie: The #BlackLivesMatter assholes know just how stupid and gullible #SJWs are and they're taking full advantage. Well played…,,,,,actual,,,,,,https://twitter.com/CopperBronzed/status/672094159277309954
twitter,672060819836788000,2015-12-02T14:32:40Z,ahmedgazarin,RT @Kahduna: Oh my God. Makes you think. #BlackLivesMatter #TamirRice http://t.co/CCtWC0s55s,,,25,55,enrichment,http://pbs.twimg.com/media/B4iKFsUIYAAmy9o.jpg,,,,,https://twitter.com/VindiTweets/status/672094014011740160
twitter,672045155365425000,2015-12-02T13:30:25Z,ahmedgazarin,RT @PrisonPlanet: #BlackLivesMatter Supporter Who Threatened to Kill 16 White Students Allowed Back on Campus https://t.co/eXMNeN9rF1 https…,,http://www.infowars.com/black-lives-matter-supporter-who-threatened-to-massacre-16-white-students-allowed-back-on-campus/,25,55,enrichment,http://pbs.twimg.com/media/CVOKSQoWcAAgA-N.jpg,,,,,https://twitter.com/melissagbro/status/672093655172120576
twitter,671993390582624000,2015-12-02T10:04:44Z,aisharxble,RT @MalitiaMaliMob: Wake Up Call Out Tomorrow #BlackLivesMatter https://t.co/KkkCpEHvkv,,,,,actual,http://pbs.twimg.com/ext_tw_video_thumb/671836680567971840/pu/img/5SBMHeXXpCTFC5tT.jpg,,,,,https://twitter.com/MillzIsGod/status/672093441371828225
twitter,671926568491622000,2015-12-02T05:39:12Z,ajiwapol,"RT @tparsi: Pretty big

Rahm Emanuel expected to announce resignation tomorrow

https://t.co/1NISI766wR

#BlackLivesMatter",,http://www.washingtonpost.com/wp-dyn/content/article/2010/09/30/AR2010093004061.html,56,-106,enrichment,,,,,,https://twitter.com/JustineLimLaw/status/672093360023318528
twitter,672064886348845000,2015-12-02T14:48:49Z,AladarCZ,">#GamerGate turns into shit
>#BlackLivesMatter turns into racist shit
>both hypocritical parodies

This is why we cant have nice things.",,,,,actual,,,,,,https://twitter.com/MillzIsGod/status/672093277076791296
twitter,672073938311053000,2015-12-02T15:24:48Z,albertarabbit,RT @deAdder: I drew this ten years ago. A tribute to #RosaParks #BlackLivesMatter #cdnpoli https://t.co/RWJ5fAqGqB,,,,,actual,http://pbs.twimg.com/media/CVOstz4UYAACCrK.jpg,,,,,https://twitter.com/forexwatcher/status/672092921982685186
twitter,671961643446857000,2015-12-02T07:58:34Z,alexanderferri6,"RT @MattMcGorry: If you're not noticing the trends, you're not looking hard enough. #BlackLivesMatter ""Cover-Up in Chicago"": https://t.co/r…",,http://www.nytimes.com/2015/11/30/opinion/cover-up-in-chicago.html,,,actual,,,,,,https://twitter.com/MalcolmXNetwork/status/672092190647128064
twitter,671994345399197000,2015-12-02T10:08:31Z,Alexandriablog1,"RT @FaridYFarid: Top # in #Egypt: Would you let your daughter marry a black person?
Damn & u wonder why #BlackLivesMatter.. cc @deray https…",,,,,actual,http://pbs.twimg.com/media/CU_BMm3WsAAA68B.png,,,,,https://twitter.com/rickblythe/status/672092094543110144
twitter,671874521239044000,2015-12-02T02:12:23Z,AliKazmiM,"RT @Razarumi: 60 years ago, #RosaParks refused to give up her seat. Inspirational.  #OnThisDay #BlackLivesMatter #humanrights https://t.co/…",,,,,actual,http://pbs.twimg.com/media/CVLwtGbWIAAL0ms.jpg,,,,,https://twitter.com/KsthecookRader/status/672090807495729152
twitter,672065146471112000,2015-12-02T14:49:51Z,AlittleSapphire,RT @PreechTheProfit: If #BlackLivesMatter demand that these so-called #BlackMedia companies do black folks justice in their publications & …,,,,,actual,,,,,,https://twitter.com/KsthecookRader/status/672090799312646144
twitter,672074864962887000,2015-12-02T15:28:29Z,amelillo,This should not happen in a civilised society. #BlackLivesMatter  https://t.co/wk8uASiq2X,https://twitter.com/newsweek/status/672071480948088837,https://twitter.com/newsweek/status/672071480948088837,,,actual,,,,,,https://twitter.com/area_matter/status/672090716105936896
twitter,671890863061102000,2015-12-02T03:17:19Z,AngeliaPrest,RT @FastFoodForward: Unionization is crucial for closing the racial wage gap: https://t.co/IEe5rXJ4WY #BlackLivesMatter #1u https://t.co/EI…,,http://ow.ly/Vemz3,,,actual,http://pbs.twimg.com/media/CVBg94UUwAIcO70.png,,1,,,https://twitter.com/punkqueenchar/status/672090516687728640
twitter,671902067762458000,2015-12-02T04:01:50Z,Animated_Rhythm,#BlackLivesMatter lulz https://t.co/TS7t0VyeJP,https://twitter.com/PhxKen/status/671859724644564992,https://twitter.com/PhxKen/status/671859724644564992,,,actual,,,,,,https://twitter.com/punkqueenchar/status/672090252803104769
twitter,671904282619219000,2015-12-02T04:10:39Z,Anontrip,RT @NavyDad0007: NEW US Attorney on the #KendrickJohnson Investigation Steven M. Dettelbach #BlackLivesMatter https://t.co/aLmIl4nmDa,,,,,actual,http://pbs.twimg.com/media/CVMAxnUWsAIYnX8.jpg,,,,,https://twitter.com/hellfire68/status/672090234557874176
twitter,671911491289915000,2015-12-02T04:39:17Z,AntanMills,"We live in a time where black people find pride in a dance called ""whip"" but complain about how we're treated #StayWoke #BlackLivesMatter",,,,,actual,,,,,,https://twitter.com/sandraelleni/status/672090223048794116
twitter,672076820171239000,2015-12-02T15:36:15Z,AntiBlankRacism,"#blacklivesmatter Black mob violence in Nashville and St. Louis  a ""mystery"":  https://t.co/qNXJrVIv0Y #antiblankracisme",,http://bit.ly/1l7Ox0F,,,actual,,,,,,https://twitter.com/mikelbtko/status/672089520058208257
twitter,671935815556005000,2015-12-02T06:15:57Z,AntiBlankRacism,"#blackviolence ""Break the Silence"" Campaign to Launch in 27% Black Indianapolis Because the ... https://t.co/NfqPSGSOha #blacklivesmatter",,http://bit.ly/1Pu0c6z,,,actual,,,,,,https://twitter.com/aandreavitch/status/672088816237338626
twitter,671901369431756000,2015-12-02T03:59:04Z,AntiBlankRacism,#blacklivesmatter OLDIE BUT GOODIE: Cincinnati -- big problems and lousy solutions.:  https://t.co/wHrSt0S4Eo #antiblankracisme,,http://bit.ly/1TtpaBH,,,actual,,,,,,https://twitter.com/RoomPlease/status/672088801632641024
twitter,672075470779846000,2015-12-02T15:30:53Z,AntiHeroGaller,RT @tmorello: 60 years ago today #RosaParks asserted the outlandish notion that #BlackLivesMatter by refusing… https://t.co/SBuRsObDdy,,https://www.instagram.com/p/-y2Is1uLXx/,,,actual,,,,,,https://twitter.com/ErolAkyrek/status/672088668346142721
twitter,671941435252473000,2015-12-02T06:38:16Z,aphradity,@mahruxx @sbm29x how are you gonna tag #blacklivesmatter in your bio & not include trans women & gay women? are they not worthy,,,,,actual,,,,,,https://twitter.com/kekstopherevans/status/672088134029545472
twitter,672090716105936000,2015-12-02T16:31:28Z,area_matter,RT @PrisonPlanet: #BlackLivesMatter Supporter Who Threatened to Kill 16 White Students Allowed Back on Campus https://t.co/eXMNeN9rF1 https…,,http://www.infowars.com/black-lives-matter-supporter-who-threatened-to-massacre-16-white-students-allowed-back-on-campus/,-25,134,enrichment,http://pbs.twimg.com/media/CVOKSQoWcAAgA-N.jpg,,,,,https://twitter.com/lamg_94/status/672087626455887872
twitter,671951230265110000,2015-12-02T07:17:12Z,arfani2878,📷 the-real-eye-to-see: Sandra is a hero! #SandraBland #BlackLivesMatter https://t.co/mwScLfSMcP,,http://tmblr.co/ZgIotk1z9_zzn,-1,114,enrichment,,,,,,https://twitter.com/_HappyWarrior_/status/672087565994885121
twitter,672051423459328000,2015-12-02T13:55:20Z,ariellechynna,RT @kenjiipod: Interesting move from chick-fil-a in response to #BlackLivesMatter. Yalls food wasn't that great anyway. https://t.co/QuTBX1…,,,,,actual,http://pbs.twimg.com/media/CVOY2wUUkAEziyt.jpg (screenshot: 0.5521060824394226),,,,,https://twitter.com/Milenamnam/status/672087549800816641
twitter,672033115179642000,2015-12-02T12:42:35Z,AssyrianThief,RT @PrisonPlanet: #BlackLivesMatter Supporter Who Threatened to Kill 16 White Students Allowed Back on Campus https://t.co/eXMNeN9rF1 https…,,http://www.infowars.com/black-lives-matter-supporter-who-threatened-to-massacre-16-white-students-allowed-back-on-campus/,-25,134,enrichment,http://pbs.twimg.com/media/CVOKSQoWcAAgA-N.jpg,,,,,https://twitter.com/SangarPaykhar/status/672087514585374720
twitter,671960889285672000,2015-12-02T07:55:35Z,AstuteCitizen,"Thankfully ...
#BlackLivesMatter #humanrights #civilrights  https://t.co/cC64F1WLFN",https://twitter.com/USATODAY/status/671660168527011840,https://twitter.com/USATODAY/status/671660168527011840,56,-106,enrichment,,,,,,https://twitter.com/OneMillionHouse/status/672087197642813440
