Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,6.73338E+17,2015-12-06T03:08:06Z,lefty_loons,"RT @LindaSuhler: I Stand By America’s Police Officers!

@SheriffClarke 

#BlueLivesMatter
#PoliceLivesMatter

#SisterPatriots
#tcot https:/…",,,54.9714,-2.7428,enrichment,http://pbs.twimg.com/media/CVgtR_qUEAAnELx.png,,,https://twitter.com/lefty_loons/status/673338092984471552
twitter,6.73338E+17,2015-12-06T03:08:04Z,sneakyblackhat,"RT @LindaSuhler: I Stand By America’s Police Officers!

@SheriffClarke 

#BlueLivesMatter
#PoliceLivesMatter

#SisterPatriots
#tcot https:/…",,,,,actual,http://pbs.twimg.com/media/CVgtR_qUEAAnELx.png,,,https://twitter.com/sneakyblackhat/status/673338088102502400
twitter,6.73284E+17,2015-12-05T23:33:23Z,RonPaul4Constit,MT @LindaSuhler: RESPECT those who PROTECT and SERVE. #BlueLivesMatter #tcot #ccot https://t.co/A9PIp7wfws #WakeUpAmerica #PJNET,,,,,actual,http://pbs.twimg.com/media/CTqob9pUwAAg6Qa.png,,,https://twitter.com/RonPaul4Constit/status/673284058814668800
twitter,6.73282E+17,2015-12-05T23:24:46Z,Usmclm,If you aren't willing to do the job don't criticize the way they do it. #bluelivesmatter https://t.co/vpKoxVoUER,,http://fb.me/7vPVcmLMA,,,actual,,,,https://twitter.com/Usmclm/status/673281890615468034
twitter,6.7328E+17,2015-12-05T23:17:11Z,ArtistdeeDd,"RT @jstines3: Officer Swasey was a credit to his community, a good & faithful servant!

#BlueLivesMatter
#PJNET
#TCOT
#CCOT https://t.co/5E…",,,,,actual,http://pbs.twimg.com/media/CU7D19aUEAAeTTY.jpg,,,https://twitter.com/ArtistdeeDd/status/673279984870404096
twitter,6.73278E+17,2015-12-05T23:09:06Z,ArtistdeeDd,"RT @ChristiChat: Oops! Tarantino LIED~
never experience brutality!

@SheriffClarke
#BlueLivesMatter 
#TCOT
https://t.co/ngDf2olv5m https://…",,http://www.dailymail.co.uk/news/article-3338273/Quentin-Tarantino-LIED-going-jail-records-despite-director-s-claims-knows-hand-police-treat-inmates-like-animals-inside.html,,,actual,http://pbs.twimg.com/media/CVBXD-wWIAEhCi1.jpg,,,https://twitter.com/ArtistdeeDd/status/673277947856347136
twitter,6.73277E+17,2015-12-05T23:04:47Z,ArtistdeeDd,"RT @LindaSuhler: If you don’t follow the Sheriff, you are missing the BEST!🔸⚡️@SheriffClarke⚡️🔸

#2A
#NRA
#BlueLivesMatter
#TCOT https://t.…",,,,,actual,http://pbs.twimg.com/media/CUDgn3aUAAAuFOn.png,0.8,,https://twitter.com/ArtistdeeDd/status/673276863406473217
twitter,6.73254E+17,2015-12-05T21:32:28Z,Lupu5_Dei,@RvrsApacheMastr @Bernd_Quart #BlueLivesMatter Waffe ziehen und für Ruhe sorgen.,,,,,actual,,,,https://twitter.com/Lupu5_Dei/status/673253630179467264
twitter,6.73244E+17,2015-12-05T20:54:33Z,SoCaliMilitia1,RT @RNRArkansas: Democrats-The Party of Double Standards #RedNationRising #BlueLivesMatter #tcot https://t.co/T9MBIAOWn7,,,,,actual,http://pbs.twimg.com/media/CVer6UQVEAEJsh2.jpg,,,https://twitter.com/SoCaliMilitia1/status/673244086636163072
twitter,6.73208E+17,2015-12-05T18:30:41Z,lawson1484,RT @ForJules: #QuentinTarantino is #Loser #Liberal #Progressive that supports #criminals! #BlueLivesMatter #NYPD! #GodBlessAmerica https://…,https://twitter.com/YahooMovies/status/658669512850587648,https://twitter.com/YahooMovies/status/658669512850587648,,,actual,,0.8,,https://twitter.com/lawson1484/status/673207880837910528
